Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/97007685/clean-title-2018-mercedes-benz-gle-550e-4matic-ma-north-boston,97007685,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,MERZ,GLE 550E 4,3.0L  6,6,4JGDA6DB2JB******,CERTIFICATE OF TITLE (P),"122,998 A",ACTUAL,NORMAL WEAR,500 USD,0 USD,143,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96999465/clean-title-2018-audi-s5-premium-plus-ma-north-boston,96999465,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,AUDI,S5 PREMIUM,3.0L  6,6,WAUB4CF51JA******,CERTIFICATE OF TITLE (P),"159,129 A",ACTUAL,NORMAL WEAR,325 USD,0 USD,142,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96981955/clean-title-2020-toyota-highlander-xle-ma-north-boston,96981955,"28,500 USD",12/17/2025 06:30 pm GMT+3:30,2020,TOYT,HIGHLANDER,3.5L  6,6,5TDGZRBH3LS******,CERTIFICATE OF TITLE (P),"124,267 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,123,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96981035/clean-title-2011-kia-sorento-ex-me-windham,96981035,$1 USD,12/17/2025 06:30 pm GMT+3:30,2011,KIA,SORENTO EX,3.5L  6,6,5XYKUDA24BG******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/96973905/salvage-2021-mercedes-benz-gls-450-4matic-ny-syracuse,96973905,"62,710 USD",12/17/2025 06:30 pm GMT+3:30,2021,MERZ,GLS 450 4M,3.0L  6,6,4JGFF5KE3MA******,MV-907A SALVAGE CERTIFICATE,"50,732 A",ACTUAL,FRONT END,"18,000 USD",0 USD,48,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/96969915/clean-title-2012-chevrolet-silverado-k1500-ny-albany,96969915,"9,800 USD",12/17/2025 06:30 pm GMT+3:30,2012,CHEV,SILVERADO,4.3L  6,6,1GCNKPEX9CZ******,CERTIFICATE OF TITLE,"267,192 A",ACTUAL,FRONT END,0 USD,0 USD,112,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/96959945/clean-title-2006-toyota-4runner-limited-ma-freetown,96959945,"9,553 USD",12/17/2025 06:30 pm GMT+3:30,2006,TOYT,4RUNNER LI,4.7L  8,8,JTEBT17R468******,CERTIFICATE OF TITLE,"196,575 A",ACTUAL,MECHANICAL,325 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/96952555/clean-title-2019-hyundai-santa-fe-sel-ma-north-boston,96952555,$1 USD,12/17/2025 06:30 pm GMT+3:30,2019,HYUN,SANTA FE S,2.4L  4,4,5NMS3CADXKH******,CERTIFICATE OF TITLE (P),"144,697 A",ACTUAL,MINOR DENT/SCRATCHES,"8,500 USD",0 USD,2381,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96947455/clean-title-2019-lexus-is-300-ma-north-boston,96947455,$1 USD,12/17/2025 06:30 pm GMT+3:30,2019,LEXS,IS 300,3.5L  6,6,JTHC81D22K5******,CERTIFICATE OF TITLE (P),"165,348 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,141,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96938135/clean-title-2019-land-rover-range-rover-hse-ma-north-boston,96938135,$1 USD,12/17/2025 06:30 pm GMT+3:30,2019,LAND,RANGE ROVE,3.0L  6,6,SALGS2SV9KA******,CERTIFICATE OF TITLE (P),"122,989 A",ACTUAL,NORMAL WEAR,"2,500 USD",0 USD,144,MA - NORTH BOSTON,0,N/A,N/A
